,ts_code,name,fullname,enname,cn_spell,market,list_status,list_date,delist_date,trade_unit,isin,curr_type
279,00331.HK,丰盛生活服务,丰盛生活服务有限公司,FSE Lifestyle Services Limited,FSSHFW,主板,L,20151210,,1000.0,KYG3727N1088,HKD
280,00332.HK,元亨燃气,元亨燃气控股有限公司,Yuan Heng Gas Holdings Limited,YHRQ,主板,L,19920925,,4000.0,BMG9877V1054,HKD
281,00333.HK,黛丽斯国际,黛丽斯国际有限公司,Top Form International Ltd.,DLSGJ,主板,L,19911216,,2000.0,BMG8922H1299,HKD
282,00334.HK,华显光电,华显光电技术控股有限公司,China Display Optoelectronics Technology Holdings Limited,HXGD,主板,L,19970618,,8000.0,BMG2120L1072,HKD
283,00335.HK,美建集团,美建集团有限公司,Upbest Group Ltd.,MJJT,主板,L,20001018,,2000.0,KYG9288X1043,HKD
284,00336.HK,华宝国际,华宝国际控股有限公司,Huabao International Holdings Ltd.,HBGJ,主板,L,19920122,,1000.0,BMG4639H1227,HKD
285,00337.HK,绿地香港,绿地香港控股有限公司,Greenland Hong Kong Holdings Limited,LDXG,主板,L,20061010,,1000.0,KYG4587S1049,HKD
286,00338.HK,上海石油化工股份,中国石化上海石油化工股份有限公司,Sinopec Shanghai Petrochemical Company Limited,SHSYHGGF,主板,L,19930726,,2000.0,CNE1000004C8,HKD
287,00339.HK,中国科创产业投资,中国科创产业投资集团有限公司,China Sci-Tech Industrial Investment Group Limited,ZGKCCYTZ,主板,L,20000726,,10000.0,BMG2423L1019,HKD
288,00340.HK,潼关黄金,潼关黄金集团有限公司,Tongguan Gold Group Limited,TGHJ,主板,L,19970326,,2000.0,BMG8919D1074,HKD
289,00341.HK,大家乐集团,大家乐集团有限公司,Cafe De Coral Holdings Ltd.,DJLJT,主板,L,19860715,,2000.0,BMG1744V1037,HKD
290,00343.HK,文化传信,文化传信集团有限公司,Culturecom Holdings Ltd.,WHCX,主板,L,19860811,,5000.0,BMG2587F2058,HKD
291,00345.HK,VITASOY INT'L,维他奶国际集团有限公司,Vitasoy International Holdings Ltd.,VITASOYINTL,主板,L,19940330,,2000.0,HK0345001611,HKD
292,00346.HK,延长石油国际,延长石油国际有限公司,Yanchang Petroleum International Limited,YCSYGJ,主板,L,20010419,,5000.0,BMG9833W1221,HKD
293,00347.HK,鞍钢股份,鞍钢股份有限公司,Angang Steel Company Limited,AGGF,主板,L,19970724,,2000.0,CNE1000001V4,HKD
294,00348.HK,中国智能健康,中国智能健康控股有限公司,China Healthwise Holdings Limited,ZGZNJK,主板,L,19970930,,10000.0,KYG2120E1290,HKD
295,00351.HK,亚洲能源物流,亚洲能源物流集团有限公司,Asia Energy Logistics Group Limited,YZNYWL,主板,L,19920818,,10000.0,HK0000527306,HKD
296,00352.HK,富阳,富阳(中国)控股有限公司,Fortune Sun (China) Holdings Limited,FY,主板,L,20060705,,2000.0,KYG364261076,HKD
297,00353.HK,能源国际投资,能源国际投资控股有限公司,Energy International Investments Holdings Limited,NYGJTZ,主板,L,20010726,,4000.0,KYG3041H1598,HKD
298,00354.HK,中国软件国际,中软国际有限公司,Chinasoft International Ltd.,ZGRJGJ,主板,L,20081229,,2000.0,KYG2110A1114,HKD
299,00355.HK,世纪城市国际,世纪城市国际控股有限公司,Century City International Holdings Ltd.,SJCSGJ,主板,L,19810907,,4000.0,BMG2020F1683,HKD
300,00356.HK,鼎立资本,鼎立资本有限公司,DT Capital Limited,DLZB,主板,L,20020607,,30000.0,KYG2848V1068,HKD
301,00357.HK,美兰空港,海南美兰国际空港股份有限公司,Hainan Meilan International Airport Company Limited,MLKG,主板,L,20021118,,1000.0,CNE1000003B2,HKD
302,00358.HK,江西铜业股份,江西铜业股份有限公司,Jiangxi Copper Company Limited,JXTYGF,主板,L,19970612,,1000.0,CNE1000003K3,HKD
303,00360.HK,新焦点,新焦点汽车技术控股有限公司,New Focus Auto Tech Holdings Ltd.,XJD,主板,L,20050228,,4000.0,KYG645451090,HKD
304,00361.HK,顺龙控股,顺龙控股有限公司,Sino Golf Holdings Ltd.,SLKG,主板,L,20001220,,20000.0,BMG816821091,HKD
305,00362.HK,中国天化工,中国天化工集团有限公司,China Zenith Chemical Group Limited,ZGTHG,主板,L,20010502,,10000.0,BMG983052074,HKD
306,00363.HK,上海实业控股,上海实业控股有限公司,Shanghai Industrial Holdings Ltd.,SHSYKG,主板,L,19960530,,1000.0,HK0363006039,HKD
307,00365.HK,芯成科技,芯成科技控股有限公司,Sino ICT Holdings Limited,XCKJ,主板,L,20001016,,2000.0,BMG9340L1063,HKD
308,00366.HK,陆氏集团(越南),陆氏集团(越南控股)有限公司,Luks Group (Vietnam Holdings) Company Limited,LSJTYN,主板,L,19870107,,2000.0,BMG5700D1065,HKD
309,00367.HK,庄士机构国际,庄士机构国际有限公司,Chuang's Consortium International Ltd.,ZSJGGJ,主板,L,19870116,,4000.0,BMG2122V1458,HKD
310,00368.HK,德合集团,德合集团控股有限公司,Superland Group Holdings Limited,DHJT,主板,L,20200717,,4000.0,KYG8588F1028,HKD
311,00369.HK,永泰地产,永泰地产有限公司,Wing Tai Properties Limited,YTDC,主板,L,19730207,,2000.0,BMG9716V1000,HKD
